274 at: 424.78  st: 424.78  vt: 7.10  dt: 431.87
276 at: 426.66  st: 426.66  vt: 5.67  dt: 432.33
278 at: 427.36  st: 427.36  vt: 5.12  dt: 432.48
280 at: 433.01  st: 433.01  vt: 2.03  dt: 435.04
272 at: 423.06  st: 423.06  vt: 11.98  dt: 435.04
277 at: 426.97  st: 426.97  vt: 8.17  dt: 435.15
284 at: 437.94  st: 437.94  vt: 0.99  dt: 438.94
282 at: 434.08  st: 434.08  vt: 7.71  dt: 441.79
285 at: 437.99  st: 437.99  vt: 4.76  dt: 442.75
287 at: 441.09  st: 441.09  vt: 4.03  dt: 445.12
286 at: 439.42  st: 439.42  vt: 9.09  dt: 448.51
289 at: 446.29  st: 446.29  vt: 2.31  dt: 448.60
288 at: 444.46  st: 444.46  vt: 4.87  dt: 449.33
283 at: 437.86  st: 437.86  vt: 11.83  dt: 449.69
281 at: 433.38  st: 433.38  vt: 16.89  dt: 450.27
293 at: 449.74  st: 449.74  vt: 1.83  dt: 451.56
273 at: 423.15  st: 423.15  vt: 29.19  dt: 452.33
294 at: 450.06  st: 450.06  vt: 2.90  dt: 452.96
295 at: 450.47  st: 450.47  vt: 2.64  dt: 453.11
297 at: 454.69  st: 454.69  vt: 1.20  dt: 455.89
291 at: 447.78  st: 448.51  vt: 8.15  dt: 456.65
296 at: 451.13  st: 451.56  vt: 5.44  dt: 457.00
292 at: 449.43  st: 449.43  vt: 7.78  dt: 457.21
298 at: 455.67  st: 455.67  vt: 4.01  dt: 459.68
290 at: 446.63  st: 446.63  vt: 14.83  dt: 461.46
279 at: 430.96  st: 430.96  vt: 32.20  dt: 463.16
305 at: 463.26  st: 463.26  vt: 0.84  dt: 464.11
303 at: 461.17  st: 461.17  vt: 3.35  dt: 464.52
307 at: 464.23  st: 464.23  vt: 2.40  dt: 466.63
300 at: 459.07  st: 459.07  vt: 8.52  dt: 467.59
302 at: 460.47  st: 460.47  vt: 9.45  dt: 469.92
304 at: 463.26  st: 463.26  vt: 12.26  dt: 475.52
299 at: 458.88  st: 458.88  vt: 16.96  dt: 475.84
