175 at: 253.46  st: 299.50  vt: 0.26  dt: 299.76
174 at: 252.57  st: 298.80  vt: 7.16  dt: 305.96
177 at: 259.82  st: 299.76  vt: 6.34  dt: 306.11
179 at: 268.43  st: 306.11  vt: 0.31  dt: 306.41
173 at: 251.97  st: 297.28  vt: 13.53  dt: 310.81
178 at: 268.27  st: 305.96  vt: 5.93  dt: 311.89
181 at: 268.98  st: 310.81  vt: 1.15  dt: 311.96
170 at: 245.04  st: 292.07  vt: 23.53  dt: 315.60
183 at: 270.66  st: 311.96  vt: 7.39  dt: 319.36
184 at: 273.63  st: 315.60  vt: 4.79  dt: 320.39
168 at: 243.57  st: 290.81  vt: 37.97  dt: 328.77
182 at: 269.84  st: 311.89  vt: 20.39  dt: 332.28
176 at: 254.89  st: 299.64  vt: 37.41  dt: 337.05
187 at: 279.69  st: 328.77  vt: 9.22  dt: 338.00
188 at: 280.64  st: 332.28  vt: 9.50  dt: 341.78
189 at: 285.52  st: 337.05  vt: 5.03  dt: 342.08
191 at: 290.93  st: 341.78  vt: 5.75  dt: 347.53
193 at: 292.58  st: 347.53  vt: 0.16  dt: 347.69
190 at: 285.72  st: 338.00  vt: 9.83  dt: 347.83
195 at: 296.59  st: 347.83  vt: 0.26  dt: 348.09
192 at: 292.33  st: 342.08  vt: 6.85  dt: 348.93
185 at: 273.70  st: 319.36  vt: 33.26  dt: 352.61
180 at: 268.49  st: 306.41  vt: 46.62  dt: 353.03
197 at: 298.81  st: 348.93  vt: 5.23  dt: 354.16
199 at: 302.02  st: 353.03  vt: 1.25  dt: 354.28
198 at: 299.72  st: 352.61  vt: 2.16  dt: 354.77
186 at: 278.36  st: 320.39  vt: 39.35  dt: 359.74
203 at: 309.80  st: 359.74  vt: 0.18  dt: 359.92
194 at: 292.82  st: 347.69  vt: 16.33  dt: 364.02
204 at: 311.02  st: 359.92  vt: 12.04  dt: 371.95
206 at: 312.57  st: 371.95  vt: 0.43  dt: 372.38
200 at: 305.72  st: 354.16  vt: 18.25  dt: 372.40
208 at: 316.02  st: 372.40  vt: 1.43  dt: 373.84
202 at: 307.71  st: 354.77  vt: 20.54  dt: 375.32
196 at: 296.73  st: 348.09  vt: 27.30  dt: 375.39
211 at: 318.13  st: 375.39  vt: 2.29  dt: 377.68
205 at: 311.68  st: 364.02  vt: 15.61  dt: 379.63
201 at: 307.14  st: 354.28  vt: 25.52  dt: 379.80
209 at: 316.14  st: 373.84  vt: 11.70  dt: 385.54
207 at: 313.20  st: 372.38  vt: 15.48  dt: 387.86
216 at: 327.18  st: 387.86  vt: 0.05  dt: 387.92
212 at: 319.82  st: 377.68  vt: 10.52  dt: 388.20
217 at: 327.26  st: 387.92  vt: 2.31  dt: 390.22
219 at: 330.57  st: 390.22  vt: 1.46  dt: 391.68
215 at: 325.35  st: 385.54  vt: 6.32  dt: 391.86
221 at: 332.49  st: 391.86  vt: 0.13  dt: 391.99
218 at: 329.60  st: 388.20  vt: 6.21  dt: 394.40
210 at: 316.32  st: 375.32  vt: 24.76  dt: 400.08
214 at: 325.11  st: 379.80  vt: 21.06  dt: 400.86
220 at: 331.32  st: 391.68  vt: 12.64  dt: 404.31
225 at: 342.89  st: 400.86  vt: 3.89  dt: 404.75
226 at: 343.86  st: 404.31  vt: 2.51  dt: 406.82
222 at: 334.37  st: 391.99  vt: 16.44  dt: 408.42
228 at: 347.03  st: 406.82  vt: 2.03  dt: 408.84
227 at: 344.66  st: 404.75  vt: 7.66  dt: 412.41
223 at: 335.97  st: 394.40  vt: 18.18  dt: 412.59
229 at: 349.25  st: 408.42  vt: 10.73  dt: 419.16
230 at: 351.43  st: 408.84  vt: 12.67  dt: 421.51
232 at: 355.01  st: 412.59  vt: 9.16  dt: 421.75
224 at: 336.58  st: 400.08  vt: 32.86  dt: 432.94
213 at: 324.41  st: 379.63  vt: 53.91  dt: 433.53
237 at: 364.78  st: 433.53  vt: 0.67  dt: 434.20
231 at: 351.61  st: 412.41  vt: 25.50  dt: 437.91
239 at: 367.13  st: 437.91  vt: 0.24  dt: 438.16
234 at: 361.57  st: 421.51  vt: 20.23  dt: 441.75
240 at: 367.74  st: 438.16  vt: 4.11  dt: 442.27
235 at: 361.98  st: 421.75  vt: 21.46  dt: 443.21
236 at: 363.29  st: 432.94  vt: 10.93  dt: 443.87
244 at: 373.81  st: 443.87  vt: 1.27  dt: 445.14
241 at: 370.58  st: 441.75  vt: 5.86  dt: 447.61
242 at: 372.16  st: 442.27  vt: 5.68  dt: 447.95
233 at: 358.32  st: 419.16  vt: 29.07  dt: 448.22
248 at: 388.39  st: 448.22  vt: 3.80  dt: 452.02
238 at: 366.09  st: 434.20  vt: 20.66  dt: 454.86
247 at: 385.46  st: 447.95  vt: 8.18  dt: 456.13
251 at: 392.17  st: 456.13  vt: 3.39  dt: 459.52
245 at: 374.03  st: 445.14  vt: 15.02  dt: 460.16
246 at: 380.48  st: 447.61  vt: 12.69  dt: 460.30
249 at: 390.42  st: 452.02  vt: 8.29  dt: 460.31
250 at: 390.72  st: 454.86  vt: 5.94  dt: 460.80
253 at: 394.59  st: 460.16  vt: 1.22  dt: 461.38
254 at: 397.38  st: 460.30  vt: 5.29  dt: 465.59
243 at: 373.31  st: 443.21  vt: 22.42  dt: 465.63
256 at: 398.52  st: 460.80  vt: 6.39  dt: 467.19
257 at: 399.27  st: 461.38  vt: 5.96  dt: 467.34
252 at: 392.62  st: 459.52  vt: 10.25  dt: 469.77
